Change%,Company,Company2,Price,Volume,Low,High
▲ 1.41%,OSB,Norbord Inc,32.29,42023,31.705,32.29
▼ -11.60%,NAK,Northern Dynasty Minerals Ltd,1.715,14746987,1.645,1.915
▲ 6.20%,NG,NovaGold Resources Inc,9.335,747822,9.12,9.47
▲ 1.00%,NUE,Nucor Corporation,43.28,316680,42.445,43.36
▲ 1.98%,NTR,Nutrien Ltd,33.245,189234,32.69,33.245
▲ 0.28%,ODC,Oil-Dri Corporation of America,36.11,820,36.11,36.11
▲ 2.55%,OLN,Olin Corporation,12.07,319449,11.72,12.09
▲ 1.01%,ZEUS,"Olympic Steel, Inc",10.455,3014,10.455,10.455
▲ 31.95%,SEED,Origin Agritech Limited,13.34,228586,12.17,13.34
0.00%,OEC,Orion Engineered Carbons S.A,10.57,0,10.57,10.57
▲ 2.58%,OR,Osisko Gold Royalties Ltd,11.745,412691,11.745,11.885
▲ 5.18%,PAAS,Pan American Silver Corp,38.6,1617944,38.08,39.1
▲ 3.73%,PZG,Paramount Gold Nevada Corp,1.39,97133,1.39,1.44
▲ 2.22%,GLT,P. H. Glatfelter Company,16.795,30291,16.41,16.795
▲ 1.71%,PLL,Piedmont Lithium Limited,7.75,33478,7.65,7.77
▲ 17.92%,PLG,Platinum Group Metals Ltd,2.5,246594,2.375,2.5
▼ -5.37%,PLM,PolyMet Mining Corp,0.5113,4753211,0.51,0.5209
▲ 2.13%,PKX,POSCO,40.83,2557,40.83,40.83
▲ 0.52%,PPG,"PPG Industries, Inc",111.13,132574,110.24,111.29
▲ 0.37%,PQG,PQ Group Holdings Inc,13.55,1793,13.55,13.55
▲ 5.76%,PVG,Pretium Resources Inc,10.005,804904,9.815,10.125
▲ 1.16%,KWR,Quaker Chemical Corporation,205.105,3810,204.69,205.9
▼ -0.17%,RYAM,Rayonier Advanced Materials Inc,2.975,89651,2.92,2.975
▼ -0.25%,RS,Reliance Steel & Aluminum Co,102.19,28294,101.215,102.435
▲ 4.53%,RFP,Resolute Forest Products Inc,3,107839,2.82,3
▼ -8.76%,RETO,"ReTo Eco-Solutions, Inc",0.9049,54516,0.9049,0.9049
▲ 2.16%,RIO,Rio Tinto Group,62.085,362701,61.71,62.085
▲ 3.99%,RGLD,"Royal Gold, Inc",141.68,125334,141.35,144.485
