Change%,Company,Company2,Price,Volume,Low,High
▼ -1.36%,PPC,Pilgrim's Pride Corporation,15.61,62898,15.58,15.78
▼ -0.33%,POST,"Post Holdings, Inc",87.21,4206,87.21,87.52
▼ -0.81%,SAFM,"Sanderson Farms, Inc",112.13,7656,112.13,112.22
▼ -0.89%,SENEA,Seneca Foods Corporation,39.1,1207,39.1,39.1
▼ -0.29%,SPB,"Spectrum Brands Holdings, Inc",48.27,7916,48.015,48.44
▼ -0.06%,SFM,"Sprouts Farmers Market, Inc",26.59,186849,26.55,27.215
▼ -0.11%,STRA,"Strategic Education, Inc",163.645,1117,163.645,164.8
▼ -1.11%,SYY,Sysco Corporation,54.33,134401,53.865,54.41
▲ 1.40%,TAL,TAL Education Group,76.8,189759,75.82,76.8
▼ -0.60%,TANH,Tantech Holdings Ltd,1.66,18063,1.66,1.66
▼ -0.19%,TGT,Target Corporation,123.48,180053,123.31,124.25
▲ 0.68%,WTER,The Alkaline Water Company Inc,2.205,199330,2.205,2.205
▼ -0.60%,ANDE,"The Andersons, Inc",14.02,2134,14.02,14.02
▼ 0.00%,SAM,"The Boston Beer Company, Inc",828.325,13571,828.325,833.01
▼ -2.38%,CHEF,"The Chefs' Warehouse, Inc",12.32,31769,12.32,12.52
▲ 0.58%,CLX,The Clorox Company,228.35,91045,227.905,228.48
▼ -0.38%,KO,The Coca-Cola Company,48.305,1558311,48.185,48.5
▲ 0.07%,EL,The Estee Lauder Companies Inc,191.885,53610,191.3,192.385
▲ 0.75%,HAIN,"The Hain Celestial Group, Inc",33.125,8703,32.99,33.125
▲ 0.08%,HSY,The Hershey Company,145.79,47857,145.78,146.045
▼ -0.14%,SJM,The J. M. Smucker Company,107.985,37525,107.64,108.16
▲ 0.03%,KHC,The Kraft Heinz Company,34.69,342748,34.61,34.815
▼ -1.01%,KR,The Kroger Co,34.36,576635,34.35,34.7
▲ 0.12%,PG,The Procter & Gamble Company,126.11,521114,125.68,126.25
▲ 0.04%,SMPL,The Simply Good Foods Company,24.01,19545,23.88,24.01
▲ 1.79%,UL,The Unilever Group,61.225,104448,61.19,61.26
▲ 2.06%,UN,The Unilever Group,59.825,343456,59.735,59.91
▲ 0.10%,TR,"Tootsie Roll Industries, Inc",30.95,8458,30.95,30.955
▲ 0.85%,THS,"TreeHouse Foods, Inc",44.05,27644,44.05,44.5
▼ -1.19%,TSN,"Tyson Foods, Inc",60.095,59934,60.095,60.59
▲ 1.49%,UNFI,"United Natural Foods, Inc",19.75,21426,19.75,19.75
▲ 0.55%,UTI,"Universal Technical Institute, Inc",7.34,4180,7.34,7.35
▼ -1.57%,USFD,US Foods Holding Corp,20.63,126658,20.41,20.67
▼ -1.30%,VGR,Vector Group Ltd,8.37,110579,8.31,8.43
▲ 0.69%,VFF,"Village Farms International, Inc",5.8,74372,5.77,5.8
▲ 0.20%,WMT,Walmart Inc,131.505,459611,130.955,131.82
▲ 0.31%,WMK,"Weis Markets, Inc",50.905,2543,50.905,50.905
