Change%,Company,Company2,Price,Volume,Low,High
▲ 0.49%,FTV,Fortive Corporation,71.35,153909,71.025,71.65
▲ 2.31%,FTFT,Future FinTech Group Inc,2.66,107894,2.66,2.66
▲ 1.98%,GRMN,Garmin Ltd,98.66,266381,94.62,98.73
▼ -0.37%,IT,"Gartner, Inc",124.23,7548,124.15,124.605
▲ 0.27%,GDS,GDS Holdings Limited,78.36,19001,78.2,78.48
▲ 0.51%,G,Genpact Limited,39.29,98622,38.915,39.29
▲ 1.61%,GLOB,Globant S.A,167.335,2833,167.335,167.335
▲ 0.36%,GDDY,GoDaddy Inc,68.855,41248,68.35,68.855
▲ 2.57%,GPRO,"GoPro, Inc",5.18,272007,5.065,5.18
▲ 0.10%,GSKY,"GreenSky, Inc",5.255,15049,5.21,5.255
▼ -1.14%,GTYH,GTY Technology Holdings Inc,3.46,0,3.46,3.46
▲ 1.76%,GWRE,"Guidewire Software, Inc",118.69,9537,117.395,118.69
▼ -0.75%,HBB,Hamilton Beach Brands Holding Company,14.47,22412,14.425,14.475
▲ 0.63%,HLIT,Harmonic Inc,5.575,13606,5.575,5.575
▼ -0.57%,HPE,Hewlett Packard Enterprise Company,9.565,643651,9.48,9.59
▲ 0.53%,HIMX,"Himax Technologies, Inc",3.78,73012,3.78,3.79
▲ 1.54%,HPQ,HP Inc,17.77,1250960,17.465,17.795
▲ 3.35%,HMI,Huami Corporation,13.87,27351,13.79,13.87
▼ -0.49%,HUBS,"HubSpot, Inc",221.7,10576,221.7,223.78
▲ 0.17%,IIIV,"i3 Verticals, Inc",26.755,2241,26.325,26.755
▲ 0.62%,ICHR,"Ichor Holdings, Ltd",29.26,2083,29.26,29.26
▲ 0.39%,IDEX,"Ideanomics, Inc",1.295,958211,1.295,1.305
▲ 1.96%,INVE,"Identiv, Inc",5.2,2639,5.2,5.2
▲ 1.99%,IIVI,II-VI Incorporated,45.6,36682,45.03,45.6
▲ 5.25%,IMMR,Immersion Corporation,6.42,42473,6.42,6.485
▲ 2.27%,PI,"Impinj, Inc",30.62,0,30.62,30.62
▲ 1.04%,INFN,Infinera Corporation,7.78,267419,7.755,7.88
▲ 0.25%,III,"Information Services Group, Inc",2.005,4885,2.005,2.005
▲ 2.88%,INFY,Infosys Limited,12.685,576258,12.615,12.695
▲ 2.11%,IPHI,Inphi Corporation,124.31,30348,123.31,124.31
▼ -0.68%,INPX,Inpixon,1.45,1429714,1.41,1.47
▲ 2.59%,INSG,Inseego Corp,11.09,238898,10.945,11.09
▲ 0.33%,NSIT,"Insight Enterprises, Inc",48.42,7969,47.99,48.42
▲ 0.85%,INTC,Intel Corporation,51.02,10097898,50.465,51.135
▲ 1.81%,IDN,"Intellicheck, Inc",7.32,0,7.32,7.32
▲ 4.34%,INS,Intelligent Systems Corporation,31.22,6221,29.965,31.22
▼ -0.13%,IBM,International Business Machines Corporation,125.63,527423,124.885,125.74
▲ 0.25%,INTT,inTEST Corporation,4,0,4,4
▲ 1.52%,INTU,Intuit Inc,293.065,114769,290.46,293.065
▲ 1.81%,IPGP,IPG Photonics Corporation,178.455,15812,175.97,178.455
▲ 2.97%,IRBT,iRobot Corporation,73.675,119312,72.47,74.08
▲ 1.79%,ITI,"Iteris, Inc",4.54,12462,4.47,4.54
▲ 0.16%,ITRI,"Itron, Inc",67.815,2348,67.815,68.1
▼ -0.51%,JCOM,"j2 Global, Inc",55.01,18129,54.64,55.19
▲ 1.03%,JBL,Jabil Inc,33.24,66927,32.89,33.24
▲ 0.20%,JKHY,"Jack Henry & Associates, Inc",179.95,13087,179.95,180.005
▲ 3.30%,JKS,"JinkoSolar Holding Co., Ltd",19.73,135377,19.58,19.88
▲ 1.06%,JNPR,"Juniper Networks, Inc",24.74,197141,24.555,24.74
▲ 1.23%,KEYS,"Keysight Technologies, Inc",98.04,98121,97.29,98.535
▲ 2.55%,KLAC,KLA Corporation,193.01,198188,190.37,193.97
▲ 1.38%,KN,Knowles Corporation,14.65,47220,14.47,14.65
▲ 3.37%,KOPN,Kopin Corporation,1.84,108288,1.785,1.84
▲ 2.51%,LRCX,Lam Research Corporation,354.41,238299,347.3,356.655
▲ 5.54%,LSCC,Lattice Semiconductor Corporation,31.26,148571,30.095,31.26
▼ -0.93%,LDOS,"Leidos Holdings, Inc",90.22,39769,90.1,90.58
▲ 1.38%,LPL,"LG Display Co., Ltd",5.14,25226,5.14,5.15
▲ 1.29%,LLNW,"Limelight Networks, Inc",6.3,332399,6.235,6.315
▲ 0.37%,LFUS,"Littelfuse, Inc",173.26,705,173.26,174.16
▼ -1.08%,LPSN,"LivePerson, Inc",37.57,69775,37.39,37.885
▲ 0.73%,RAMP,"LiveRamp Holdings, Inc",46.345,8426,46.345,46.345
▲ 2.44%,LOGI,Logitech International S.A,70.56,62549,69.98,70.56
▲ 0.04%,LOGM,"LogMeIn, Inc",85.675,7145,85.67,85.675
▲ 0.85%,LYTS,LSI Industries Inc,5.96,3860,5.96,5.96
▲ 1.90%,LITE,Lumentum Holdings Inc,86.075,56482,85.145,86.24
▲ 2.51%,LUNA,Luna Innovations Incorporated,5.71,9843,5.71,5.71
▼ -0.15%,LYFT,"Lyft, Inc",30.375,343543,30.15,30.61
▲ 3.13%,MTSI,"MACOM Technology Solutions Holdings, Inc",37.58,15547,36.85,37.585
▲ 0.31%,MJCO,Majesco,13.1,0,13.1,13.1
▲ 0.61%,MANH,"Manhattan Associates, Inc",96.005,9855,94.65,96.005
▲ 0.02%,MANT,ManTech International Corporation,65.905,8157,65.905,65.905
▲ 1.91%,MRVL,Marvell Technology Group Ltd,35.66,690187,35.24,35.705
▲ 0.26%,MTLS,Materialise NV,26.77,13851,26.55,26.77
▲ 1.15%,MAXR,Maxar Technologies Inc,16.305,47484,15.96,16.355
▲ 1.80%,MXIM,"Maxim Integrated Products, Inc",68.34,327122,67.4,68.35
▲ 0.15%,MXL,"MaxLinear, Inc",26.34,16269,26.24,26.4
▲ 3.46%,MDLA,"Medallia, Inc",30.78,121244,30.05,30.78
▲ 1.23%,MLAB,"Mesa Laboratories, Inc",234.47,405,234.47,234.47
▲ 2.40%,MCHP,Microchip Technology Incorporated,102.615,382925,101.25,102.665
▼ -2.34%,MFGP,Micro Focus International plc,3.75,513154,3.705,3.755
▲ 1.90%,MU,"Micron Technology, Inc",50.97,2461811,50.495,51.115
▲ 0.73%,MSFT,Microsoft Corporation,202.775,3931097,201.455,202.925
▼ -0.88%,MSTR,MicroStrategy Incorporated,115.915,0,115.915,115.915
▲ 6.50%,MVIS,"MicroVision, Inc",2.13,880210,2.035,2.13
▲ 24.77%,MICT,"MICT, Inc",4.03,155962,4.01,4.03
▲ 0.91%,MIME,Mimecast Limited,43.45,30460,43.2,43.45
▲ 2.26%,MKSI,"MKS Instruments, Inc",122.405,36815,121.65,122.405
▲ 0.68%,MODN,"Model N, Inc",36.535,1758,36.535,36.535
▲ 5.96%,MOGO,Mogo Inc,2.31,313361,2.31,2.31
▲ 1.37%,MDB,"MongoDB, Inc",207.45,38352,207.09,207.695
▲ 2.11%,MPWR,"Monolithic Power Systems, Inc",250.3,11558,248.46,250.395
▼ -0.13%,MSI,"Motorola Solutions, Inc",141.55,42098,141.55,141.9
▼ -0.91%,MTSC,MTS Systems Corporation,17.38,15471,17.27,17.555
▼ -6.04%,NNDM,Nano Dimension Ltd,2.255,321802,2.255,2.405
▲ 0.77%,NATI,National Instruments Corporation,37.81,10943,37.675,37.87
▼ -1.23%,NCR,NCR Corporation,17.66,65123,17.415,17.66
▲ 3.11%,NPTN,NeoPhotonics Corporation,8.94,32282,8.875,8.94
▲ 0.97%,UEPS,"Net 1 UEPS Technologies, Inc",3.12,11911,3.12,3.12
▲ 0.62%,NTAP,"NetApp, Inc",43.47,281569,42.785,43.525
▲ 6.29%,NETE,"Net Element, Inc",16.73,34737,16.73,16.73
▲ 1.28%,NTGR,"NETGEAR, Inc",30.96,9721,30.96,30.96
▲ 0.52%,NEWR,"New Relic, Inc",63.37,18130,63.125,63.37
▲ 0.09%,NICE,NICE Ltd,200.1,19672,198.73,200.1
▲ 0.74%,EGOV,NIC Inc,21.86,6833,21.595,21.86
▲ 3.32%,LASR,"nLIGHT, Inc",22.74,5446,22.19,22.74
▲ 1.51%,NOK,Nokia Corporation,4.365,3472132,4.32,4.365
▲ 0.54%,NLOK,NortonLifeLock Inc.,20.495,398328,20.355,20.75
▲ 2.72%,NVMI,Nova Measuring Instruments Ltd,49.92,12671,49.315,49.96
▲ 1.03%,NUAN,"Nuance Communications, Inc",26.49,126319,26.405,26.5
▲ 1.66%,NTNX,"Nutanix, Inc",21.47,170080,21.03,21.47
▲ 1.87%,NVDA,NVIDIA Corporation,415.41,1252983,409.51,416.52
▲ 1.81%,NXPI,NXP Semiconductors N.V,117.84,295508,116.505,117.9
▲ 1.14%,OKTA,"Okta, Inc",207.98,126866,206.35,208.24
▲ 2.23%,OSPN,OneSpan Inc,28.92,17242,28.92,28.92
▲ 2.66%,ON,ON Semiconductor Corporation,21.015,481907,20.68,21.025
▲ 1.91%,ONTO,Onto Innovation Inc,35.23,4541,35.02,35.23
