Change%,Company,Company2,Price,Volume,Low,High
▲ 0.31%,GT,The Goodyear Tire & Rubber Company,9.69,2070428,9.52,9.75
▲ 0.57%,HD,"The Home Depot, Inc",265.31,2753712,262.99,266.89
▲ 1.14%,INTG,The InterGroup Corporation,25.7901,201,25.7901,25.7901
▼ -2.35%,LOVE,The Lovesac Company,28.72,221352,27.6415,29.27
▲ 1.43%,MIK,"The Michaels Companies, Inc",7.1,6072196,6.916,7.41
▼ -2.52%,NWHM,The New Home Company Inc,4.25,20800,4.23,4.43
▲ 0.70%,STKS,"The ONE Group Hospitality, Inc",1.43,22800,1.41,1.44
▼ -5.52%,REAL,"The RealReal, Inc",13.17,1314311,13.05,13.74
▼ -0.94%,TJX,"The TJX Companies, Inc",52.89,3482128,52.68,53.68
▲ 1.43%,WEN,The Wendy's Company,23.45,3991569,22.74,23.58
▼ -0.44%,THO,"Thor Industries, Inc",111.62,546522,108.59,114.35
▼ -0.16%,TIF,Tiffany & Co,121.41,1352100,120.82,121.96
▼ -2.72%,TLYS,"Tilly's, Inc",6.08,219841,6.01,6.27
▲ 1.64%,TOL,"Toll Brothers, Inc",37.2,2380356,35.77,37.775
▲ 2.38%,CLUB,"Town Sports International Holdings, Inc",0.43,372600,0.4,0.43
▼ -0.52%,TM,Toyota Motor Corporation,125.21,123871,125.05,126.145
▲ 0.36%,TSCO,Tractor Supply Company,146.53,1662300,141.91,146.74
▲ 2.12%,TWMC,Trans World Entertainment Corporation,6.25,9485,6.0601,6.4399
▼ -4.68%,TA,TravelCenters of America Inc,13.85,327703,13.785,14.56
▲ 5.47%,TZOO,Travelzoo,5.78,169810,5.49,5.99
▼ -1.48%,TRIP,"TripAdvisor, Inc",20.03,1992100,19.86,20.28
▼ -4.46%,TPH,"TRI Pointe Group, Inc",16.29,3092545,15.66,17.59
▼ -2.75%,TOUR,Tuniu Corporation,1.06,492864,1,1.08
▲ 0.55%,TUP,Tupperware Brands Corporation,9.11,2999341,8.74,9.2
▲ 0.53%,TRWH,"Twin River Worldwide Holdings, Inc",21.04,74900,20.53,21.19
▼ -0.65%,UFPT,"UFP Technologies, Inc",47.49,19900,46.92,47.79
▼ -0.94%,ULTA,"Ulta Beauty, Inc",203.71,584798,202.51,206.27
▲ 0.51%,UA,"Under Armour, Inc",9.83,6510155,9.69,10.0353
▲ 0.37%,UAA,"Under Armour, Inc",10.91,8878200,10.76,11.25
▼ -2.99%,UFI,"Unifi, Inc",12.34,122600,12.31,12.86
▼ -2.33%,UFAB,"Unique Fabricating, Inc",2.93,8600,2.81,3
▼ -3.87%,URBN,"Urban Outfitters, Inc",15.42,1747300,15.36,16.27
▼ -0.98%,MYT,"Urban Tea, Inc",0.505,966600,0.475,0.516
▼ -1.26%,PRTS,"U.S. Auto Parts Network, Inc",11.74,536500,11.38,12.08
▼ -0.70%,MTN,"Vail Resorts, Inc",193.9,299500,191.54,195.53
▼ -18.62%,VNE,"Veoneer, Inc",11.19,1860134,10.82,12.43
▼ -0.12%,VRA,"Vera Bradley, Inc",4.3,146194,4.23,4.395
▼ -0.40%,VFC,V.F. Corporation,59.9,1448431,59.7,61.14
▼ -1.56%,VNCE,Vince Holding Corp,5.05,10777,4.91,5.125
▼ -2.20%,VIPS,Vipshop Holdings Limited,20.43,3044437,19.55,20.57
0.00%,VIRC,Virco Mfg. Corporation,2.3,28412,2.24,2.36
▼ -1.31%,VSTO,Vista Outdoor Inc,15.01,708500,14.71,15.265
▼ -1.88%,VC,Visteon Corporation,73.01,160532,72.82,75.03
▼ -2.43%,VRM,Vroom Inc.,49,562100,47.47,50.25
▲ 2.20%,W,Wayfair Inc,222.79,1278590,209.12,225.29
▲ 11.76%,WPRT,Westport Fuel Systems Inc,1.52,2399400,1.37,1.57
▲ 0.20%,WRK,WestRock Company,30.21,2008400,29.99,30.55
▼ -2.38%,WEYS,"Weyco Group, Inc",18.9,5327,18.9,19.44
▼ -0.43%,WHR,Whirlpool Corporation,157.95,1110512,157.03,161.39
▼ -0.47%,WSM,"Williams-Sonoma, Inc",84.91,738500,83.67,85.4
▼ -1.48%,WING,Wingstop Inc,136.81,626200,132.04,138.9
▼ -2.28%,WINA,Winmark Corporation,156.36,15497,155.7,163.83
▼ -1.02%,WGO,"Winnebago Industries, Inc",61.98,394404,61.25,63.7
▼ -1.87%,WWW,"Wolverine World Wide, Inc",23.03,386870,22.93,23.75
▼ -2.92%,WKHS,Workhorse Group Inc,15.145,10005600,14.3,15.5
▲ 0.08%,WW,"WW International, Inc",26.11,653219,25.58,26.4794
▼ -2.66%,WYND,"Wyndham Destinations, Inc",29.23,509003,29.18,30.09
▼ -1.38%,WH,"Wyndham Hotels & Resorts, Inc",45.71,547631,45.155,46.08
▼ -0.66%,WYNN,"Wynn Resorts, Limited",73.41,3446925,71.6,73.41
▲ 1.18%,XELB,"Xcel Brands, Inc",0.86,21598,0.81,0.86
▼ -0.19%,XPEL,"XPEL, Inc",15.55,65762,15.31,15.73
▼ -4.42%,XSPA,"XpresSpa Group, Inc",3.46,7809000,3.31,3.56
0.00%,YTRA,"Yatra Online, Inc",0.76,222100,0.729,0.76
▼ -1.45%,YETI,"YETI Holdings, Inc",45.59,958400,44.41,46.12
▲ 0.29%,YUM,"YUM! Brands, Inc",93.14,1022600,92.21,93.47
▲ 0.25%,YUMC,"Yum China Holdings, Inc",52.64,1172400,51.215,52.74
▲ 1.89%,YJ,Yunji Inc,2.7,162600,2.6,2.77
▼ -1.67%,ZAGG,ZAGG Inc,2.94,544200,2.88,3.04
▼ -5.49%,ZUMZ,Zumiez Inc,25.65,311900,25.64,27.39
