Change%,Company,Company2,Price,Volume,Low,High
▼ -0.77%,FEAC,Flying Eagle Acquisition Corp Class A,11.6,22737,11.6,11.78
▼ -2.02%,FNB,F.N.B. Corporation,7.515,143777,7.485,7.575
▼ -0.17%,FOCS,Focus Financial Partners Inc,37.545,11919,37.545,37.545
▲ 2.23%,FVAC,Fortress Value Acquisition Corp. Class A,13.955,172673,13.93,14
▲ 10.37%,FMCI,Forum Merger II Corporation,14.48,838061,13.98,14.61
▼ -0.15%,BEN,"Franklin Resources, Inc",20.57,408392,20.46,20.69
▼ -0.29%,FSK,FS KKR Capital Corp,15.705,32742,15.615,15.765
▼ -3.01%,FULT,Fulton Financial Corporation,9.835,77886,9.835,9.915
▼ -0.16%,GCAP,"GAIN Capital Holdings, Inc",6.13,1736,6.13,6.13
▲ 1.91%,GGN,"GAMCO Global Gold, Natural Resources & Income Trust",3.73,231348,3.675,3.73
▲ 0.46%,GNW,"Genworth Financial, Inc",2.2,218106,2.19,2.2
▼ -0.55%,GLAD,Gladstone Capital Corporation,7.28,13046,7.28,7.28
▼ -1.26%,GL,Globe Life Inc,79.36,34818,78.725,79.68
▼ -0.13%,GSBD,"Goldman Sachs BDC, Inc",15.34,19634,15.34,15.34
▼ -0.59%,GBDC,"Golub Capital BDC, Inc",11.715,10616,11.715,11.715
▼ -1.45%,GSHD,"Goosehead Insurance, Inc",82.05,3999,82.05,82.16
▲ 0.91%,GMHI,"Gores Metropoulos, Inc",11.14,2,11.14,11.14
▼ -3.57%,GWB,"Great Western Bancorp, Inc",13.645,10212,13.62,14.045
▼ -0.26%,GDOT,Green Dot Corporation,50.76,14038,50.76,50.76
▲ 0.48%,GHL,"Greenhill & Co., Inc",10.55,2845,10.55,10.55
▲ 1.32%,GGAL,Grupo Financiero Galicia S.A,12.635,177087,12.35,12.635
▼ -1.55%,GNTY,"Guaranty Bancshares, Inc",26.01,0,26.01,26.01
▲ 0.17%,GFED,"Guaranty Federal Bancshares, Inc",14.72,0,14.72,14.72
▼ -0.78%,HALL,"Hallmark Financial Services, Inc",3.165,47964,3.165,3.2
▼ -3.32%,HWC,Hancock Whitney Corporation,18.63,13512,18.6,18.82
▼ -2.69%,HAFC,Hanmi Financial Corporation,9.24,2228,9.24,9.7
▼ -1.34%,HONE,"HarborOne Bancorp, Inc",8.84,9338,8.84,8.98
▼ -0.83%,HCI,"HCI Group, Inc",44.46,380,44.46,45.16
▼ -3.04%,HDB,HDFC Bank Limited,48.72,348843,48.41,48.79
▲ 0.45%,HTLF,"Heartland Financial USA, Inc",31.32,99,31.32,31.32
