Change%,Company,Company2,Price,Volume,Low,High
▲ 4.79%,OIBR.C,Oi S.A,1.53,8565141,1.49,1.62
▲ 0.41%,OMC,Omnicom Group Inc,56.56,2375642,55.65,57.72
▼ -4.97%,OOMA,"Ooma, Inc",15.11,173600,15,15.7
▼ -0.48%,ORAN,Orange S.A,12.38,264180,12.33,12.415
▲ 2.70%,ORBC,ORBCOMM Inc,3.81,740594,3.61,3.93
▲ 3.46%,OTEL,Otelco Inc,12.26,10616,11.73,12.45
0.00%,TEUM,Pareteum Corporation,0.72,598000,0.71,0.74
▲ 2.96%,PTNR,Partner Communications Company Ltd,3.83,1828,3.725,3.88
▼ -1.28%,PSO,Pearson plc,6.96,420416,6.9,7.05
▲ 0.82%,PERI,Perion Network Ltd,6.17,134200,5.96,6.24
▼ -0.53%,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,20.54,689340,20.42,20.64
▼ -1.33%,FENG,Phoenix New Media Limited,1.48,146846,1.46,1.51
▼ -0.41%,PINS,"Pinterest, Inc",24.54,9085200,23.56,24.69
▲ 0.61%,PHI,PLDT Inc,26.51,199459,26.15,26.85
▼ -1.49%,PCOM,Points International Ltd,9.27,39027,9.2,9.39
▼ -0.70%,QNST,"QuinStreet, Inc",11.42,289413,11.25,11.53
▼ -1.91%,QUOT,Quotient Technology Inc,7.7,252000,7.62,7.81
▲ 7.04%,QTT,Qutoutiao Inc,2.89,2166200,2.61,2.92
▼ -2.49%,RDCM,RADCOM Ltd,8.6,5481,8.51,8.815
▼ -1.72%,RDI,"Reading International, Inc",4.57,35405,4.52,4.64
▼ -0.65%,RNWK,"RealNetworks, Inc",1.52,273165,1.47,1.56
▼ -0.28%,RELX,RELX PLC,21.12,2664100,21.04,21.68
▼ -4.03%,MARK,"Remark Holdings, Inc",1.43,3141900,1.37,1.45
▼ -2.84%,RBBN,Ribbon Communications Inc,4.1,126600,4.08,4.19
▼ -1.44%,RCI,Rogers Communications Inc,40.51,319634,40.48,41.14
▲ 0.67%,ROKU,"Roku, Inc",151.17,4891509,145.2,153.06
▼ -0.76%,SGA,"Saga Communications, Inc",23.46,1900,23.46,23.72
▼ -11.11%,SALM,"Salem Media Group, Inc",2.08,2002296,2.05,2.28
